# フリー対戦マップ一覧: ファイル名|表示名
maps/m01_border_hills.map|国境の丘（42x29・陸戦）
maps/m02_channel.map|運河の対岸（49x34・海空戦）
maps/m03_archipelago.map|群島の海戦（52x34・艦隊決戦）
maps/c11_seacontrol.map|制海権の争奪（52x34・上陸戦）
maps/c12_dday.map|敵首都上陸（57x34・大規模上陸）
maps/c05_river.map|河川突破（42x25・渡河戦）
maps/c07_pass.map|山岳の隘路（42x25・山岳戦）
maps/c09_cities.map|補給都市の攻防（46x25・都市争奪）
maps/c10_plains.map|平原の決戦（49x29・大機甲戦）
maps/m04_layers.map|三層の要衝（44x28・立体戦）
maps/c13_delta.map|三角州の攻防（52x30・複合兵科）
maps/c14_bastion.map|湾岸の要塞（56x32・総力戦）
maps/c04_capital.map|首都攻略（42x29・最終決戦）
maps/m05_threeway.map|三国志の丘（40x30・3陣営の乱戦）
maps/m06_alliance.map|連合軍の反攻（46x32・2対2のチーム戦）
# --- フリー対戦専用（キャンペーンには出てこない尖ったルールのマップ） ---
maps/f01_lastStand.map|四面楚歌（40x40・5陣営乱戦／陸戦のみ・中央は囲まれている）
maps/f02_defile.map|隘路の死闘（40x26・陸戦のみ）
maps/f03_wolfpack.map|群狼の海（46x30・海戦のみ）
maps/f04_skyline.map|蒼穹の戦列（46x30・航空戦のみ）
maps/f05_endlessnight.map|常夜の戦場（44x28・ずっと夜／同じ領域同士しか戦えない）
maps/f06_blitz.map|電撃戦（32x22・25ターンの短期決戦）
maps/f07_stormstrait.map|嵐の海峡（48x30・常時雨／航空は水上に手を出せない）
maps/f08_citadel.map|城塞の攻防（42x28・非対称／守りは40ターン耐える・攻めは拠点10個）
maps/f09_drylines.map|涸れた戦線（38x26・拠点なし／手持ちの部隊だけで決める）
